Model,MAE,MAPE_%,MSE,RMSE,R2
Random Forest,743.4268765330814,56.510554363492936,1139285.441497469,1067.3731500733327,0.5808322337723056
Linear Regression,792.0247141085217,106.254400197674,1143541.2997210398,1069.3649048482187,0.5792664114419411
HistGradientBoosting,747.7195518637042,57.99613063181993,1160130.7019531615,1077.0936365763014,0.5731628113928163
Decision Tree,800.7826079176141,58.45265340618801,1321588.9426443,1149.6038198633041,0.5137588309464391
