Feature,Importance_Mean,Importance_Std
Item_MRP,720.7213556381564,34.35687746289411
Outlet_Type,457.63889671229936,21.404316297751812
Outlet_Identifier,24.652263058821678,4.709526862088344
Outlet_Age,16.510685901273586,3.8745014277437573
Item_Visibility,1.891752024575942,2.755361177490578
Outlet_Location_Type,0.3142240886380023,0.20157511622602023
Outlet_Size,0.22192063135796616,0.10520801040005359
Item_Weight,-0.3865432295004325,1.0552245275779693
Item_Fat_Content,-0.4961612043764717,0.5423797705586566
Item_Type,-1.243661433718421,2.1099403069759166
